,HERE_address,Latitude,Longitude,schs_1km,schs_2km,sap_sch_1km,sap_sch_2km,autonomous_sch_1km,autonomous_sch_2km,gifted_sch_1km,gifted_sch_2km,ip_sch_1km,ip_sch_2km,hawker_1km,hawker_2km,supermarket_1km,supermarket_2km
1313,401 BEDOK NTH AVE 3 Singapore,1.33043,103.93412,9,17,2,2,2,2,0,0,0,1,5,7,8,22
1335,2 BEDOK STH AVE 1 Singapore,1.32145,103.93325,4,18,0,2,0,4,0,1,1,2,4,8,6,23
1358,116 BEDOK NTH RD Singapore,1.33142,103.93729,9,19,2,2,2,2,0,0,0,1,4,8,7,24
1373,419 BEDOK NTH ST 1 Singapore,1.32735,103.92799,4,17,1,2,0,2,0,0,0,1,4,8,10,26
1396,107 BEDOK NTH RD Singapore,1.33253,103.93626,8,21,2,2,2,2,0,1,0,1,4,8,5,24
1414,221B BEDOK CTRL Singapore,1.32491,103.93456,5,19,1,2,0,4,0,1,1,2,5,8,10,25
1428,219A BEDOK CTRL Singapore,1.32557,103.93315,6,20,1,2,0,4,0,1,1,2,6,8,11,25
1438,512 BEDOK NTH AVE 2 Singapore,1.33294,103.92841,6,18,1,2,0,2,0,0,0,1,4,8,9,24
1442,131 BEDOK RESERVOIR RD Singapore,1.33322,103.91163,1,8,0,1,0,0,0,0,0,0,1,3,4,16
1452,147 BEDOK RESERVOIR RD Singapore,1.33495,103.91152,1,8,0,1,0,0,0,0,0,0,1,3,4,15
1463,117 BEDOK NTH RD Singapore,1.33066,103.93748,9,20,2,2,2,3,0,0,0,1,4,8,8,22
1484,82 BEDOK NTH RD Singapore,1.32934,103.94072,8,17,2,2,2,3,0,0,0,1,3,9,6,20
1493,121 BEDOK NTH RD Singapore,1.32978,103.93875,10,17,2,2,2,3,0,0,0,1,4,8,7,22
1507,536 BEDOK NTH ST 3 Singapore,1.33325,103.92316,3,13,0,1,0,0,0,0,0,0,3,7,7,22
1522,517 BEDOK NTH AVE 2 Singapore,1.33131,103.9292,6,16,1,2,0,2,0,0,0,1,4,8,10,23
1530,34 BEDOK STH AVE 2 Singapore,1.32246,103.93825,5,16,0,2,0,4,0,1,1,2,4,9,6,24
1546,6 BEDOK STH AVE 2 Singapore,1.32284,103.93524,5,18,0,2,0,4,0,1,1,2,4,8,7,23
1552,37 BEDOK STH AVE 2 Singapore,1.3218,103.94021,5,15,0,2,0,3,0,0,1,1,3,8,4,19
1570,35 BEDOK STH AVE 2 Singapore,1.32274,103.93966,6,15,1,2,1,3,0,0,1,1,3,9,6,23
1589,724 BEDOK RESERVOIR RD Singapore,1.33706,103.92877,6,17,1,2,0,2,0,1,0,0,2,9,5,22
1598,523 BEDOK NTH ST 3 Singapore,1.33459,103.93062,5,19,1,2,0,2,0,1,0,1,4,9,8,25
1611,65 NEW UPP CHANGI RD Singapore,1.32447,103.93988,6,16,1,2,1,3,0,0,1,1,4,9,9,22
1621,132 BEDOK NTH ST 2 Singapore,1.3275,103.93671,10,18,2,2,2,3,0,0,0,1,6,7,10,23
1631,62 NEW UPP CHANGI RD Singapore,1.32316,103.94,6,15,1,2,1,3,0,0,1,1,4,9,6,22
1638,428 BEDOK NTH RD Singapore,1.32961,103.92841,6,17,1,2,0,2,0,0,0,1,4,8,11,24
1651,772 BEDOK RESERVOIR VIEW Singapore,1.33675,103.93796,6,22,2,2,2,2,0,1,0,0,2,9,4,28
1662,774 BEDOK RESERVOIR VIEW Singapore,1.33677,103.93689,7,21,2,2,2,2,0,1,0,0,2,9,4,28
1690,768 BEDOK RESERVOIR VIEW Singapore,1.33554,103.93744,7,22,2,2,2,2,0,1,0,1,2,9,4,27
1699,180 BEDOK NTH RD Singapore,1.32647,103.94059,6,16,1,2,2,3,0,0,0,1,4,8,9,19
1720,611 BEDOK RESERVOIR RD Singapore,1.33149,103.91536,3,11,0,1,0,0,0,0,0,0,1,5,6,19
1725,602 BEDOK RESERVOIR RD Singapore,1.32968,103.91163,2,9,0,1,0,0,0,0,0,0,1,3,4,17
1735,101 BEDOK RESERVOIR RD Singapore,1.32828,103.90926,4,8,1,1,0,0,0,0,0,0,1,4,4,20
1749,506 BEDOK NTH AVE 3 Singapore,1.33248,103.93337,8,19,2,2,2,2,0,1,0,1,5,8,8,24
1762,99 BEDOK NTH AVE 4 Singapore,1.33427,103.94023,6,21,2,2,2,2,0,1,0,1,1,8,5,22
1772,553 BEDOK NTH AVE 1 Singapore,1.33124,103.92789,7,17,1,2,0,2,0,0,0,1,4,8,11,21
1786,804 CHAI CHEE RD Singapore,1.32438,103.92204,3,16,0,1,0,1,0,1,0,2,2,6,7,25
1794,659 JLN TENAGA Singapore,1.33418,103.90638,3,6,1,1,0,0,0,0,0,0,1,2,5,11
1797,405 BEDOK NTH AVE 3 Singapore,1.3288799999999998,103.93439,8,17,2,2,1,2,0,0,0,1,6,7,10,23
1808,172 BEDOK STH RD Singapore,1.32039,103.94466,6,13,0,2,1,3,0,0,0,1,1,7,2,14
1818,406 BEDOK NTH AVE 3 Singapore,1.3287,103.93443,7,17,2,2,1,2,0,0,0,1,6,7,10,23
1823,55 NEW UPP CHANGI RD Singapore,1.32485,103.94187,6,14,1,2,1,3,0,0,1,1,4,7,8,17
1831,66 BEDOK STH AVE 3 Singapore,1.31905,103.9436,6,13,0,2,1,3,0,0,1,1,2,7,2,14
1844,103 LENGKONG TIGA Singapore,1.32572,103.91071,2,8,0,1,0,0,0,0,0,0,2,4,4,23
1849,67 BEDOK STH AVE 3 Singapore,1.31924,103.94421,7,13,0,2,1,3,0,0,1,1,2,7,2,14
1853,114 BEDOK RESERVOIR RD Singapore,1.33072,103.90996,4,8,1,1,0,0,0,0,0,0,1,3,5,16
1867,10D BEDOK STH AVE 2 Singapore,1.32174,103.93616,4,18,0,2,0,4,0,1,1,2,4,8,7,23
1875,629 BEDOK RESERVOIR RD Singapore,1.33409,103.91505,2,11,0,1,0,0,0,0,0,0,1,4,4,17
1884,104 LENGKONG TIGA Singapore,1.32574,103.90989,3,8,0,1,0,0,0,0,0,0,2,5,5,22
1894,308 SHUNFU RD Singapore,1.35039,103.83787,3,15,1,2,1,1,2,2,2,2,1,6,2,12
1912,271 BISHAN ST 24 Singapore,1.35669,103.84232,2,17,1,2,1,1,1,2,1,2,1,6,4,16
1917,107 BISHAN ST 12 Singapore,1.34659,103.84797,7,16,1,2,1,2,2,2,2,2,2,9,5,13
1924,239 BISHAN ST 22 Singapore,1.36029,103.84481,4,19,1,3,1,3,1,2,1,3,3,9,4,18
1929,264 BISHAN ST 24 Singapore,1.35853,103.84207,3,17,1,3,1,2,1,2,1,3,4,8,6,16
1939,177 BISHAN ST 13 Singapore,1.34802,103.85359,6,19,0,2,0,2,0,2,0,2,1,9,4,16
1946,281 BISHAN ST 24 Singapore,1.35737,103.84444,2,18,1,2,1,1,1,2,1,2,1,8,4,17
1950,113 BISHAN ST 12 Singapore,1.3473700000000002,103.84829,7,16,1,2,1,2,2,2,2,2,1,9,4,14
1966,227 BISHAN ST 23 Singapore,1.35825,103.84715,4,19,1,2,1,2,1,2,1,2,1,8,4,18
1971,167 BISHAN ST 13 Singapore,1.34814,103.85529,7,19,0,2,0,2,0,2,0,2,1,8,4,18
1983,112 BISHAN ST 12 Singapore,1.34686,103.84848,7,16,1,2,1,2,2,2,2,2,2,9,5,14
1989,251 BISHAN ST 22 Singapore,1.36172,103.8441,5,19,1,3,1,3,1,2,1,3,3,9,7,18
1995,302 SHUNFU RD Singapore,1.34956,103.83899,3,14,1,2,1,2,2,2,2,2,1,6,1,12
1997,289 BISHAN ST 24 Singapore,1.35687,103.84485,2,18,1,2,1,1,1,2,1,2,1,7,5,15
2004,248 BISHAN ST 22 Singapore,1.36127,103.84332,5,19,1,3,1,3,1,2,1,3,3,9,6,18
2008,310 SHUNFU RD Singapore,1.35104,103.83875,3,15,1,2,1,1,2,2,2,2,1,6,3,12
2018,447 BRIGHT HILL DR Singapore,1.35807,103.83179,2,9,1,3,0,2,0,2,0,3,1,5,3,11
2028,217 BISHAN ST 23 Singapore,1.35701,103.84945,5,19,1,2,1,2,1,2,1,2,2,9,6,18
2031,128 BISHAN ST 12 Singapore,1.3459,103.85049,7,17,0,2,0,2,1,2,1,2,2,8,6,14
2039,183 BISHAN ST 13 Singapore,1.35028,103.85268,6,18,1,1,1,2,1,2,1,2,0,9,4,12
2046,192 BISHAN ST 13 Singapore,1.34903,103.85112,6,18,1,2,1,1,1,2,1,2,0,9,4,15
2051,212 BISHAN ST 23 Singapore,1.3564,103.84829,3,20,1,2,1,1,1,2,1,2,1,10,6,19
2059,201 BISHAN ST 23 Singapore,1.35511,103.84706,3,21,1,2,1,1,1,2,1,2,0,10,5,17
2064,450 SIN MING AVE Singapore,1.35828,103.83058,2,9,1,3,0,2,0,2,0,3,0,4,3,9
2072,525 BT BATOK ST 52 Singapore,1.35699,103.75239,5,14,0,0,0,0,0,0,0,0,0,0,6,16
2073,501 BT BATOK ST 52 Singapore,1.35165,103.75501,5,14,0,0,0,0,0,0,0,0,0,0,7,19
2088,410 BT BATOK WEST AVE 4 Singapore,1.36463,103.74496,4,11,0,0,0,0,0,0,0,0,0,0,5,20
2100,408 BT BATOK WEST AVE 4 Singapore,1.36463,103.74496,4,11,0,0,0,0,0,0,0,0,0,0,5,20
2111,423 BT BATOK WEST AVE 2 Singapore,1.3623299999999998,103.7449,4,9,0,0,0,0,0,0,0,0,0,0,6,16
2123,272 BT BATOK EAST AVE 4 Singapore,1.34834,103.75787,6,14,0,0,0,0,0,0,0,0,0,0,3,20
2134,229 BT BATOK EAST AVE 3 Singapore,1.34802,103.75476,6,14,0,0,0,0,0,0,0,0,0,1,4,20
2147,217 BT BATOK ST 21 Singapore,1.3469,103.75473,6,13,0,0,0,0,0,0,0,0,0,1,5,21
2163,421 BT BATOK WEST AVE 2 Singapore,1.3623299999999998,103.74492,4,9,0,0,0,0,0,0,0,0,0,0,6,16
2179,407 BT BATOK WEST AVE 4 Singapore,1.36466,103.74578,4,10,0,0,0,0,0,0,0,0,0,0,5,20
2187,240 BT BATOK EAST AVE 5 Singapore,1.35069,103.754,5,14,0,0,0,0,0,0,0,0,0,1,6,21
2201,179 BT BATOK WEST AVE 8 Singapore,1.34585,103.74239,4,15,0,0,0,0,0,0,0,0,1,2,7,25
2206,414 BT BATOK WEST AVE 4 Singapore,1.36373,103.74593,4,10,0,0,0,0,0,0,0,0,0,0,5,19
2217,269 BT BATOK EAST AVE 4 Singapore,1.34889,103.75931,6,9,0,0,0,0,0,0,0,0,0,0,2,19
2225,152 BT BATOK ST 11 Singapore,1.34838,103.74408,5,18,0,0,0,0,0,0,0,0,1,2,8,26
2231,146 BT BATOK WEST AVE 6 Singapore,1.34948,103.74405,5,18,0,0,0,0,0,0,0,0,1,2,8,27
2243,533 BT BATOK ST 51 Singapore,1.35607,103.74989,5,14,0,0,0,0,0,0,0,0,0,1,7,16
2259,157 BT BATOK ST 11 Singapore,1.3486,103.74339,4,18,0,0,0,0,0,0,0,0,1,2,8,26
2263,540 BT BATOK ST 52 Singapore,1.35424,103.75126,5,14,0,0,0,0,0,0,0,0,0,1,7,20
2275,239 BT BATOK EAST AVE 5 Singapore,1.35004,103.75532,5,15,0,0,0,0,0,0,0,0,0,0,4,20
2291,249 BT BATOK EAST AVE 5 Singapore,1.35081,103.75652,5,15,0,0,0,0,0,0,0,0,0,0,4,18
2310,316 BT BATOK ST 32 Singapore,1.36074,103.74679,4,12,0,0,0,0,0,0,0,0,0,0,6,18
2329,250 BT BATOK EAST AVE 5 Singapore,1.35087,103.75709,6,15,0,0,0,0,0,0,0,0,0,0,4,17
2340,164 BT BATOK ST 11 Singapore,1.34793,103.74301,4,17,0,0,0,0,0,0,0,0,1,2,8,25
2354,167 BT BATOK WEST AVE 8 Singapore,1.34712,103.74219,4,15,0,0,0,0,0,0,0,0,1,2,7,27
2362,312 BT BATOK ST 32 Singapore,1.36004,103.74729,5,12,0,0,0,0,0,0,0,0,0,0,6,18
2375,208 BT BATOK ST 21 Singapore,1.34568,103.74865,8,13,0,0,0,0,0,0,0,0,0,2,9,25
2385,534 BT BATOK ST 51 Singapore,1.35611,103.75056,5,14,0,0,0,0,0,0,0,0,0,0,7,18
2398,311 BT BATOK ST 32 Singapore,1.35987,103.74858,6,12,0,0,0,0,0,0,0,0,0,0,6,18
2404,319 BT BATOK ST 33 Singapore,1.36126,103.74666,4,11,0,0,0,0,0,0,0,0,0,0,6,18
2412,417 BT BATOK WEST AVE 4 Singapore,1.36306,103.74625,4,9,0,0,0,0,0,0,0,0,0,0,5,18
2432,307 BT BATOK ST 31 Singapore,1.35802,103.74809,6,14,0,0,0,0,0,0,0,0,0,1,7,17
2438,138 BT BATOK WEST AVE 6 Singapore,1.35065,103.74445,5,17,0,0,0,0,0,0,0,0,0,2,7,27
2455,124 BT BATOK CTRL Singapore,1.35105,103.74706,7,15,0,0,0,0,0,0,0,0,0,2,9,22
2458,291B BT BATOK ST 24 Singapore,1.34296,103.75588,4,12,0,0,0,0,0,0,0,0,0,0,6,19
2464,288D BT BATOK ST 25 Singapore,1.34564,103.75912,4,9,0,0,0,0,0,0,0,0,0,1,2,20
2480,113 BT BATOK WEST AVE 6 Singapore,1.34903,103.74524,6,17,0,0,0,0,0,0,0,0,0,2,8,27
2490,186 BT BATOK WEST AVE 6 Singapore,1.34651,103.7443,5,16,0,0,0,0,0,0,0,0,1,2,7,25
2496,386 BT BATOK WEST AVE 5 Singapore,1.36369,103.75253,4,13,0,0,0,0,0,0,0,0,0,0,5,22
2520,337 BT BATOK ST 34 Singapore,1.36333,103.74934,4,12,0,0,0,0,0,0,0,0,0,0,5,21
2531,165 BT BATOK WEST AVE 8 Singapore,1.34715,103.74175,5,15,0,0,0,0,0,0,0,0,1,2,8,27
2537,290D BT BATOK EAST AVE 3 Singapore,1.34477,103.75757,4,12,0,0,0,0,0,0,0,0,0,0,4,17
2547,131 BT BATOK WEST AVE 6 Singapore,1.35093,103.74625,8,17,0,0,0,0,0,0,0,0,0,2,9,24
2562,291D BT BATOK ST 24 Singapore,1.34369,103.75488,4,12,0,0,0,0,0,0,0,0,0,1,7,19
2570,291A BT BATOK ST 24 Singapore,1.34343,103.75617,4,12,0,0,0,0,0,0,0,0,0,0,6,19
2584,384 BT BATOK WEST AVE 5 Singapore,1.3629,103.7518,5,15,0,0,0,0,0,0,0,0,0,0,5,21
2612,207 BT BATOK ST 21 Singapore,1.34651,103.74935,7,15,0,0,0,0,0,0,0,0,0,2,8,25
2624,193 BT BATOK WEST AVE 6 Singapore,1.34615,103.7443,5,16,0,0,0,0,0,0,0,0,1,2,7,25
2632,243 BT BATOK EAST AVE 5 Singapore,1.34992,103.75648,6,15,0,0,0,0,0,0,0,0,0,0,4,18
2641,388 BT BATOK WEST AVE 5 Singapore,1.36463,103.75221,4,12,0,0,0,0,0,0,0,0,0,0,5,21
2658,102 BT BATOK WEST AVE 6 Singapore,1.34711,103.7471,7,16,0,0,0,0,0,0,0,0,0,2,6,26
2666,623 BT BATOK CTRL Singapore,1.35107,103.7496,7,15,0,0,0,0,0,0,0,0,0,1,11,19
2671,621 BT BATOK CTRL Singapore,1.35046,103.74832,7,15,0,0,0,0,0,0,0,0,0,2,8,24
2687,622 BT BATOK CTRL Singapore,1.35082,103.74832,7,15,0,0,0,0,0,0,0,0,0,2,9,22
2696,202 BT BATOK ST 21 Singapore,1.34691,103.74821,8,16,0,0,0,0,0,0,0,0,0,2,7,26
2707,524 BT BATOK ST 52 Singapore,1.35713,103.7526,5,14,0,0,0,0,0,0,0,0,0,0,6,16
2716,28 JLN KLINIK Singapore,1.28791,103.82879,4,13,0,0,0,1,0,0,0,0,6,16,9,30
2729,48 LOWER DELTA RD Singapore,1.2894,103.82684,3,12,0,0,0,1,0,0,0,0,7,14,9,31
