,school_name,school_latitude,school_longitude,sap_ind,autonomous_ind,gifted_ind,ip_ind
98,YANGZHENG PRIMARY SCHOOL,1.3489737533151,103.868349549195,No,No,No,No
99,JUYING PRIMARY SCHOOL,1.33902264667596,103.687769624799,No,No,No,No
100,JUNYUAN PRIMARY SCHOOL,1.3478705123088601,103.93922053793399,No,No,No,No
101,NORTHLAND PRIMARY SCHOOL,1.42096989918956,103.840928424929,No,No,No,No
102,NAVAL BASE PRIMARY SCHOOL,1.41630663159389,103.838794077233,No,No,No,No
103,XINGNAN PRIMARY SCHOOL,1.34254744877696,103.68795025210301,No,No,No,No
104,QIHUA PRIMARY SCHOOL,1.44203596612333,103.788339756898,No,No,No,No
105,GUANGYANG PRIMARY SCHOOL,1.34569011530241,103.849453239895,No,No,No,No
106,TAMPINES NORTH PRIMARY SCHOOL,1.36047641484685,103.94872578283301,No,No,No,No
107,ELIAS PARK PRIMARY SCHOOL,1.3745126945989499,103.945128117683,No,No,No,No
108,AHMAD IBRAHIM PRIMARY SCHOOL,1.4331527154352,103.832942401086,No,No,No,No
109,NORTH VIEW PRIMARY SCHOOL,1.4275232719372901,103.848190787869,No,No,No,No
110,PIONEER PRIMARY SCHOOL,1.34883617453429,103.695003812477,No,No,No,No
111,PUNGGOL PRIMARY SCHOOL,1.37779451245844,103.894506933396,No,No,No,No
112,PARK VIEW PRIMARY SCHOOL,1.3773806985425099,103.93954169565399,No,No,No,No
113,ADMIRALTY PRIMARY SCHOOL,1.44263479033113,103.800040119743,No,No,No,No
114,KRANJI PRIMARY SCHOOL,1.39356050497107,103.74736272093901,No,No,No,No
115,SENG KANG PRIMARY SCHOOL,1.3894974039509198,103.899767112047,No,No,No,No
116,WOODLANDS RING PRIMARY SCHOOL,1.4349522931586,103.797435733144,No,No,No,No
117,WEST VIEW PRIMARY SCHOOL,1.3836758200336101,103.760240434318,No,No,No,No
118,WHITE SANDS PRIMARY SCHOOL,1.36555714668556,103.960918869319,No,No,No,No
119,UNITY PRIMARY SCHOOL,1.40285481877249,103.746822625758,No,No,No,No
120,CANBERRA PRIMARY SCHOOL,1.45130467584564,103.81583947660499,No,No,No,No
121,RIVERVALE PRIMARY SCHOOL,1.3934099776776299,103.904559511997,No,No,No,No
122,JURONG WEST PRIMARY SCHOOL,1.33917519796107,103.698803732244,No,No,No,No
123,EAST SPRING PRIMARY SCHOOL,1.3526840074635902,103.961676849165,No,No,No,No
124,EVERGREEN PRIMARY SCHOOL,1.44415064298951,103.794581221647,No,No,No,No
125,COMPASSVALE PRIMARY SCHOOL,1.3944452963656797,103.897812229905,No,No,No,No
126,WOODGROVE PRIMARY SCHOOL,1.43310340168969,103.790604437613,No,No,No,No
127,SEMBAWANG PRIMARY SCHOOL,1.4450737155262399,103.82104237403601,No,No,No,No
128,CONCORD PRIMARY SCHOOL,1.38000806197243,103.73622544072701,No,No,No,No
