,supermarket_name,supermarket_latitude,supermarket_longitude
151,NTUC FAIRPRICE CO-OPERATIVE LTD,1.39730189954737,103.746558069293
152,NTUC FAIRPRICE CO-OPERATIVE LTD,1.39712885652678,103.747329724589
153,LAMIAH ENTERPRISE PTE. LTD.,1.31146784739883,103.630340087983
154,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31485322616185,103.764248204763
155,NTUC FAIRPRICE CO-OPERATIVE LTD,1.27338252999837,103.808934817338
156,NTUC FAIRPRICE CO-OPERATIVE LTD,1.27367658025919,103.801126955437
157,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33326818232541,103.740176741625
158,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31427860895568,103.771350566042
159,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34833334908052,103.72430732776
160,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31188596098541,103.759080943921
161,NTUC FAIRPRICE CO-OPERATIVE LTD,1.29277432695785,103.784084020187
162,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34770147779384,103.757044586256
163,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33320021671365,103.743170430901
164,NTUC FAIRPRICE CO-OPERATIVE LTD,1.36650698092595,103.746847123122
165,SHINVA AGRO FOODS PTE. LTD.,1.3110024025961,103.631572325734
166,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32460665101076,103.67809636872
167,SHINVA AGRO FOODS PTE. LTD.,1.30091146604893,103.627788892117
168,NTUC FAIRPRICE CO-OPERATIVE LTD,1.392073879435,103.743099576144
169,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32052027199062,103.742651522893
170,PHAN NEE INVESTMENTS (S) PTE LTD,1.37193280471552,103.720857418902
171,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34259104167685,103.739199499869
172,THE QUALITYMART DEPOT PTE. LTD.,1.28220136427594,103.803023763143
173,COLD STORAGE SINGAPORE (1983) PTE LTD,1.34813378503649,103.685418471527
174,SHENG SIONG SUPERMARKET PTE LTD,1.35303824733614,103.743948448003
175,HONESTBEE PTE. LTD.,1.27604519475402,103.797187338711
176,NTUC FAIRPRICE CO-OPERATIVE LTD,1.28646345680433,103.826935081592
177,NTUC FAIRPRICE CO-OPERATIVE LTD,1.28311950277785,103.817642874205
178,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32512653292631,103.851055636335
179,NTUC FAIRPRICE CO-OPERATIVE LTD,1.28977814003505,103.826793758818
180,NTUC FAIRPRICE CO-OPERATIVE LTD,1.27624052975614,103.843006122101
181,NTUC FAIRPRICE CO-OPERATIVE LTD,1.29727532047679,103.838533933775
182,NTUC FAIRPRICE CO-OPERATIVE LTD,1.38054244056369,103.763993951638
183,NTUC FAIRPRICE CO-OPERATIVE LTD,1.44822653003389,103.819462105427
184,NTUC FAIRPRICE CO-OPERATIVE LTD,1.43262602939439,103.774051198699
185,NTUC FAIRPRICE CO-OPERATIVE LTD,1.43755656449988,103.79513640221
186,NTUC FAIRPRICE CO-OPERATIVE LTD,1.42452848118598,103.846595550971
187,NTUC FAIRPRICE CO-OPERATIVE LTD,1.42919468259866,103.781136890158
188,NTUC FAIRPRICE CO-OPERATIVE LTD,1.42952522056756,103.83499514286
189,NTUC FAIRPRICE CO-OPERATIVE LTD,1.41698315581696,103.835218187743
190,NTUC FAIRPRICE CO-OPERATIVE LTD,1.38509601466743,103.760218439756
191,NTUC FAIRPRICE CO-OPERATIVE LTD,1.36655829857198,103.841624088452
192,NTUC FAIRPRICE CO-OPERATIVE LTD,1.41103598112316,103.84403989942
193,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32383512680832,103.809999578549
194,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31248299329666,103.765476758596
195,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33865677093942,103.778560473793
196,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33375343289468,103.739371389066
197,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33983014805774,103.706460886826
198,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33205937638185,103.722452888408
199,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33504201869474,103.720268020639
200,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34716235926513,103.74280788296
201,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3487108014327,103.74933452639
202,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34551209957725,103.731219147651
203,NTUC FAIRPRICE CO-OPERATIVE LTD,1.29270339832466,103.810958960395
204,SHENG SIONG SUPERMARKET PTE LTD,1.37563500165175,103.871996419079
205,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32099294995032,103.870389995935
206,NTUC FAIRPRICE CO-OPERATIVE LTD,1.28645354374901,103.80824240096
207,NTUC FAIRPRICE CO-OPERATIVE LTD,1.29301786111443,103.826940812301
208,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32042967863542,103.843892126913
209,NTUC FAIRPRICE CO-OPERATIVE LTD,1.36924890739397,103.848399235571
210,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31536303357228,103.849434508531
211,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31265450087908,103.87254179955
212,NTUC FAIRPRICE CO-OPERATIVE LTD,1.28480734614992,103.829298011427
213,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32379607925067,103.855670628839
214,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31139349438913,103.856487121487
215,NTUC FAIRPRICE CO-OPERATIVE LTD,1.2770770759001,103.831425859726
216,"JEWISH WELFARE BOARD, SINGAPORE, THE",1.29827328917638,103.850599507143
217,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30585583497043,103.832984361905
218,NTUC FAIRPRICE CO-OPERATIVE LTD,1.37140920462192,103.847082884002
219,NTUC FAIRPRICE CO-OPERATIVE LTD,1.27458822422728,103.843470740865
220,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3270848591504,103.846476465683
221,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3921382839313,103.872490556756
222,COLD STORAGE SINGAPORE (1983) PTE LTD,1.29487905112125,103.857675501543
223,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30880609469533,103.861311961994
224,COLD STORAGE SINGAPORE (1983) PTE LTD,1.27461794177448,103.8443195557
225,NTUC FAIRPRICE CO-OPERATIVE LTD,1.39139305725169,103.876067662182
226,NTUC FAIRPRICE CO-OPERATIVE LTD,1.38621835288115,103.892995500981
227,NTUC FAIRPRICE CO-OPERATIVE LTD,1.28668027234677,103.813766343919
228,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3708945610762,103.856396513475
229,NTUC FAIRPRICE CO-OPERATIVE LTD,1.36321586107786,103.835445360583
230,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31909344185792,103.86390532629
231,NTUC FAIRPRICE CO-OPERATIVE LTD,1.33889072011391,103.848993319083
232,SF (313) PTE. LTD.,1.29487905112125,103.857675501543
233,YOUR GROCER PRIVATE LIMITED,1.28807688301773,103.827081283638
234,COLD STORAGE SINGAPORE (1983) PTE LTD,1.28022768611886,103.853349301911
235,PAN PACIFIC INTERNATIONAL HOLDINGS PTE. LTD.,1.31139349438913,103.856487121487
236,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32176644586798,103.886672786663
237,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32594069682932,103.931640028654
238,NTUC FAIRPRICE CO-OPERATIVE LTD,1.36979940182639,103.873035798474
239,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30141955705642,103.907112664975
240,NTUC FAIRPRICE CO-OPERATIVE LTD,1.31230752821693,103.92523453825
241,NTUC FAIRPRICE CO-OPERATIVE LTD,1.32855656927862,103.885349909653
242,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30836165161607,103.907988815995
243,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34634819293844,103.712429317152
244,NTUC FAIRPRICE CO-OPERATIVE LTD,1.38506836300634,103.744950388654
245,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34528144162057,103.945344294717
246,NTUC FAIRPRICE CO-OPERATIVE LTD,1.394184094795,103.912976438987
247,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3554217626792,103.934315234757
248,NTUC FAIRPRICE CO-OPERATIVE LTD,1.37714073427956,103.953599087705
249,NTUC FAIRPRICE CO-OPERATIVE LTD,1.38233698021703,103.893607840929
250,COLD STORAGE SINGAPORE (1983) PTE LTD,1.35431556438279,103.94501945797
251,NTUC FAIRPRICE CO-OPERATIVE LTD,1.37177995742086,103.894165384101
252,NTUC FAIRPRICE CO-OPERATIVE LTD,1.36516070959148,103.865041855148
253,NTUC FAIRPRICE CO-OPERATIVE LTD,1.40461002768949,103.908665607626
254,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3774300635181,103.903712868236
255,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35349616014431,103.939683594446
256,U STARS SUPERMARKET PTE. LTD.,1.3512641069979,103.929363838846
257,NTUC FAIRPRICE CO-OPERATIVE LTD,1.35524289885319,103.931623638518
258,NTUC FAIRPRICE CO-OPERATIVE LTD,1.40287845138627,103.913195747038
259,NTUC FAIRPRICE CO-OPERATIVE LTD,1.43507789397689,103.78661961568
260,NTUC FAIRPRICE CO-OPERATIVE LTD,1.45384518800838,103.819543348008
261,NTUC FAIRPRICE CO-OPERATIVE LTD,1.44956647612199,103.818641141782
262,NTUC FAIRPRICE CO-OPERATIVE LTD,1.30918211194726,103.79254748678
263,SHENG SIONG SUPERMARKET PTE LTD,1.38060511575374,103.760041592308
264,NTUC FAIRPRICE CO-OPERATIVE LTD,1.43106395014876,103.790454085829
265,NTUC FAIRPRICE CO-OPERATIVE LTD,1.37834971351323,103.762741183479
266,CUTECH GREEN VENTURES PTE. LTD.,1.45334362223108,103.795682402301
267,NTUC FAIRPRICE CO-OPERATIVE LTD,1.42799995739162,103.836142036927
268,NTUC FAIRPRICE CO-OPERATIVE LTD,1.43991607901426,103.800701205041
269,NTUC FAIRPRICE CO-OPERATIVE LTD,1.3084928850612,103.784598109774
270,NTUC FAIRPRICE CO-OPERATIVE LTD,1.41799925737436,103.841236466066
271,SHENG SIONG SUPERMARKET PTE LTD,1.43109807068463,103.798507625993
272,NTUC FAIRPRICE CO-OPERATIVE LTD,1.34888843913817,103.849691986415
