,carpark_name,carpark_latitude,carpark_longitude
128,BLK 181-186 BISHAN STREET 13,1.3497794554538223,103.85304135503804
129,BLK 187-197 BISHAN STREET 13,1.3500233170395146,103.85096979371106
130,BLK 135A BISHAN STREET 12,1.344885540917709,103.85152763920905
131,BLK 167A BISHAN STREET 13,1.3470591230008566,103.85543169019655
132,BLK 152A BISHAN STREET 11,1.3451627584912207,103.85483824803856
133,BISHAN PARK I,1.364299477060462,103.83506094142611
134,BISHAN PARK II,1.3630077482977747,103.84767846445125
135,BLK 441-455 SIN MING/BRIGHT HILL DRIVE,1.3583510906519627,103.83108616866879
136,BLK 503/504 BISHAN STREET 11,1.3488553698228003,103.84820175969973
137,BLK 505 BISHAN STREET 11,1.348891503524757,103.84866481348335
138,BLK 506/509 BISHAN STREET 11,1.3486246747246498,103.84904051876238
139,BLK 511/513 BISHAN STREET 13,1.3494365936467376,103.84965495311563
140,BLK 514 BISHAN STREET 13,1.350095907120638,103.8497629135692
141,BLK 201/206 BISHAN STREET 23,1.3553323098292807,103.84748284110583
142,BLK 207A BISHAN STREET 23,1.3551543675245747,103.8483089249273
143,BLK 207/212/216/217 BISHAN STREET 23,1.3558952354526168,103.84845669941903
144,BLK 212A BISHAN STREET 23,1.3566562135466171,103.84863114624726
145,"BLK 213-215,218-227 BISHAN STREET 23",1.3579257837444072,103.8480503922034
146,BLK 228-231 BISHAN STREET 23,1.3574527003474073,103.84590085114554
147,BLK 401-408 SIN MING AVE,1.362363820332417,103.83440656538855
148,BLK 410A SIN MING AVE,1.3631658099412423,103.83544188847287
149,SIN MING AVE,1.3611190211874886,103.83157685384897
150,BLK 231A BISHAN STREET 23,1.3574639721486652,103.84644532993391
151,BLK 232-237 BISHAN STREET 22,1.3588668638092514,103.84609524349523
152,BLK 237A BISHAN STREET 22,1.3591710155830472,103.84667247515101
153,BLK 238-245 BISHAN STREET 22,1.360170700467688,103.84482006190848
154,BLK 246A BISHAN STREET 22,1.3609610362378004,103.84362160812951
155,BLK 246-256 BISHAN STREET 22,1.3614206825630537,103.84308446006855
156,BLK 278-281 BISHAN STREET 24,1.3574951697204785,103.84453538273536
157,BLK 282 BISHAN STREET 22,1.3580079412271227,103.84442083770412
158,BLK 283/284 BISHAN STREET 22,1.3588986300125814,103.84456648767828
159,BLK 263A BISHAN STREET 22,1.3591964018143061,103.84197133762822
160,BLK 101-116 BISHAN STREET 12,1.346495537393408,103.84837778261465
161,BLK 268A BISHAN STREET 24,1.357311177642305,103.84264015136309
162,BLK 290A BISHAN STREET 24,1.355561780622899,103.84454814694634
