,search_add,retrieved_name,retrieved_latitude,retrieved_longitude
91,BOON LAY GARDEN PRIMARY SCHOOL,BOON LAY GARDEN PRIMARY SCHOOL,1.34317853793319,103.713280889452
92,MARSILING PRIMARY SCHOOL,MARSILING PRIMARY SCHOOL,1.4338390403706,103.773643013846
93,PEI TONG PRIMARY SCHOOL,PEI TONG PRIMARY SCHOOL,1.31619774918991,103.767599739431
94,YUHUA PRIMARY SCHOOL,YUHUA PRIMARY SCHOOL,1.34280230475035,103.741105772644
95,FENGSHAN PRIMARY SCHOOL,FENGSHAN PRIMARY SCHOOL,1.32980598760786,103.931710293058
96,YU NENG PRIMARY SCHOOL,YU NENG PRIMARY SCHOOL,1.33388900977814,103.932150334643
97,XINMIN PRIMARY SCHOOL,XINMIN PRIMARY SCHOOL,1.37139548941933,103.883080767491
98,YANGZHENG PRIMARY SCHOOL,YANGZHENG PRIMARY SCHOOL,1.3489737533151,103.868349549195
99,JUYING PRIMARY SCHOOL,JUYING PRIMARY SCHOOL,1.33902264667596,103.687769624799
100,JUNYUAN PRIMARY SCHOOL,JUNYUAN PRIMARY SCHOOL,1.34787051230886,103.939220537934
101,NORTHLAND PRIMARY SCHOOL,NORTHLAND PRIMARY SCHOOL,1.42096989918956,103.840928424929
102,NAVAL BASE PRIMARY SCHOOL,NAVAL BASE PRIMARY SCHOOL,1.41630663159389,103.838794077233
103,XINGNAN PRIMARY SCHOOL,XINGNAN PRIMARY SCHOOL,1.34254744877696,103.687950252103
104,QIHUA PRIMARY SCHOOL,QIHUA PRIMARY SCHOOL,1.44203596612333,103.788339756898
105,GUANGYANG PRIMARY SCHOOL,GUANGYANG PRIMARY SCHOOL,1.34569011530241,103.849453239895
106,TAMPINES NORTH PRIMARY SCHOOL,TAMPINES NORTH PRIMARY SCHOOL,1.36047641484685,103.948725782833
107,ELIAS PARK PRIMARY SCHOOL,ELIAS PARK PRIMARY SCHOOL,1.37451269459895,103.945128117683
108,AHMAD IBRAHIM PRIMARY SCHOOL,AHMAD IBRAHIM PRIMARY SCHOOL,1.4331527154352,103.832942401086
109,NORTH VIEW PRIMARY SCHOOL,NORTH VIEW PRIMARY SCHOOL,1.42752327193729,103.848190787869
110,PIONEER PRIMARY SCHOOL,PIONEER PRIMARY SCHOOL,1.34883617453429,103.695003812477
111,PUNGGOL PRIMARY SCHOOL,PUNGGOL PRIMARY SCHOOL,1.37779451245844,103.894506933396
112,PARK VIEW PRIMARY SCHOOL,PARK VIEW PRIMARY SCHOOL,1.37738069854251,103.939541695654
113,ADMIRALTY PRIMARY SCHOOL,ADMIRALTY PRIMARY SCHOOL,1.44263479033113,103.800040119743
114,KRANJI PRIMARY SCHOOL,KRANJI PRIMARY SCHOOL,1.39356050497107,103.747362720939
115,SENG KANG PRIMARY SCHOOL,SENG KANG PRIMARY SCHOOL,1.38949740395092,103.899767112047
116,WOODLANDS RING PRIMARY SCHOOL,WOODLANDS RING PRIMARY SCHOOL,1.4349522931586,103.797435733144
117,WEST VIEW PRIMARY SCHOOL,WEST VIEW PRIMARY SCHOOL,1.38367582003361,103.760240434318
118,WHITE SANDS PRIMARY SCHOOL,WHITE SANDS PRIMARY SCHOOL,1.36555714668556,103.960918869319
119,UNITY PRIMARY SCHOOL,UNITY PRIMARY SCHOOL,1.40285481877249,103.746822625758
120,CANBERRA PRIMARY SCHOOL,CANBERRA PRIMARY SCHOOL,1.45130467584564,103.815839476605
121,RIVERVALE PRIMARY SCHOOL,RIVERVALE PRIMARY SCHOOL,1.39340997767763,103.904559511997
122,JURONG WEST PRIMARY SCHOOL,JURONG WEST PRIMARY SCHOOL,1.33917519796107,103.698803732244
123,EAST SPRING PRIMARY SCHOOL,EAST SPRING PRIMARY SCHOOL,1.35268400746359,103.961676849165
124,EVERGREEN PRIMARY SCHOOL,EVERGREEN PRIMARY SCHOOL,1.44415064298951,103.794581221647
125,COMPASSVALE PRIMARY SCHOOL,COMPASSVALE PRIMARY SCHOOL,1.39444529636568,103.897812229905
126,WOODGROVE PRIMARY SCHOOL,WOODGROVE PRIMARY SCHOOL,1.43310340168969,103.790604437613
127,SEMBAWANG PRIMARY SCHOOL,SEMBAWANG PRIMARY SCHOOL,1.44507371552624,103.821042374036
128,CONCORD PRIMARY SCHOOL,CONCORD PRIMARY SCHOOL,1.38000806197243,103.736225440727
129,NORTH SPRING PRIMARY SCHOOL,NORTH SPRING PRIMARY SCHOOL,1.38706146494863,103.903202683028
130,YEW TEE PRIMARY SCHOOL,YEW TEE PRIMARY SCHOOL,1.39676600905038,103.750985967346
131,HOUGANG PRIMARY SCHOOL,HOUGANG PRIMARY SCHOOL,1.37738249360778,103.880807295096
132,MERIDIAN PRIMARY SCHOOL,MERIDIAN PRIMARY SCHOOL,1.37552831658488,103.934889078246
133,GREENWOOD PRIMARY SCHOOL,GREENWOOD PRIMARY SCHOOL,1.43989958331785,103.804725587384
134,ANDERSON PRIMARY SCHOOL,ANDERSON PRIMARY SCHOOL,1.38426429436739,103.841392081119
135,WELLINGTON PRIMARY SCHOOL,WELLINGTON PRIMARY SCHOOL,1.45191585783116,103.82230605577
136,EDGEFIELD PRIMARY SCHOOL,EDGEFIELD PRIMARY SCHOOL,1.40009139510997,103.907847599114
137,WEST GROVE PRIMARY SCHOOL,WEST GROVE PRIMARY SCHOOL,1.34487905600144,103.699286360581
138,CASUARINA PRIMARY SCHOOL,CASUARINA PRIMARY SCHOOL,1.37246063955374,103.957020286387
139,CLEMENTI PRIMARY SCHOOL,CLEMENTI PRIMARY SCHOOL,1.31506321827877,103.763144493687
140,TANJONG KATONG PRIMARY SCHOOL,TANJONG KATONG PRIMARY SCHOOL (U/C),1.30528177350467,103.900128254182
141,ANDERSON SECONDARY SCHOOL,ANDERSON SECONDARY SCHOOL,1.37434001701182,103.851554107068
142,BARTLEY SECONDARY SCHOOL,BARTLEY SECONDARY SCHOOL,1.33995415587812,103.882806211705
143,BEATTY SECONDARY SCHOOL,BEATTY SECONDARY SCHOOL,1.34177065550556,103.852285636587
144,CEDAR GIRLS' SECONDARY SCHOOL,CEDAR GIRLS' SECONDARY SCHOOL,1.33375800216337,103.87393306407
145,CRESCENT GIRLS' SCHOOL,CRESCENT GIRLS' SCHOOL,1.29331947049732,103.817544461483
146,GAN ENG SENG SCHOOL,GAN ENG SENG SCHOOL,1.289071144584,103.823733672546
147,QUEENSWAY SECONDARY SCHOOL,QUEENSWAY SECONDARY SCHOOL,1.30022271592191,103.802207291626
148,RAFFLES GIRLS' SCHOOL (SECONDARY),RAFFLES GIRLS' SCHOOL (SECONDARY),1.31169502827792,103.828959585733
149,RAFFLES INSTITUTION,RAFFLES INSTITUTION,1.34595888574312,103.841527553164
150,SERANGOON SECONDARY SCHOOL,SERANGOON SECONDARY SCHOOL,1.37465538827444,103.902138740699
151,COMMONWEALTH SECONDARY SCHOOL,COMMONWEALTH SECONDARY SCHOOL,1.31920395934804,103.745637393049
152,TANJONG KATONG GIRLS' SCHOOL,TANJONG KATONG GIRLS' SCHOOL,1.30821274627288,103.895820094229
153,VICTORIA SCHOOL,VICTORIA SCHOOL,1.30830803913152,103.928197539607
154,WHITLEY SECONDARY SCHOOL,WHITLEY SECONDARY SCHOOL,1.35505208480652,103.842552378136
155,YUHUA SECONDARY SCHOOL,YUHUA SECONDARY SCHOOL,1.34718626876969,103.722687235839
156,YISHUN SECONDARY SCHOOL,YISHUN SECONDARY SCHOOL,1.4281332427609,103.828764316679
157,BENDEMEER SECONDARY SCHOOL,BENDEMEER SECONDARY SCHOOL,1.32461111308,103.860970283585
158,FUCHUN SECONDARY SCHOOL,FUCHUN SECONDARY SCHOOL,1.430704528838,103.777625748539
159,ANG MO KIO SECONDARY SCHOOL,ANG MO KIO SECONDARY SCHOOL,1.36733710171073,103.842154973672
160,BEDOK SOUTH SECONDARY SCHOOL,BEDOK SOUTH SECONDARY SCHOOL,1.32513655159184,103.950989139261
161,CLEMENTI TOWN SECONDARY SCHOOL,CLEMENTI TOWN SECONDARY SCHOOL,1.31553912917703,103.762020598796
162,TEMASEK SECONDARY SCHOOL,TEMASEK SECONDARY SCHOOL,1.31591673150617,103.947564112294
163,MAYFLOWER SECONDARY SCHOOL,MAYFLOWER SECONDARY SCHOOL,1.36827266209724,103.835360726863
164,TAMPINES SECONDARY SCHOOL,TAMPINES SECONDARY SCHOOL,1.34926094811198,103.944263709507
165,BUKIT VIEW SECONDARY SCHOOL,BUKIT VIEW SECONDARY SCHOOL,1.34573305542943,103.752226593984
166,WOODLANDS SECONDARY SCHOOL,WOODLANDS SECONDARY SCHOOL,1.43912528141358,103.774586410437
167,BOWEN SECONDARY SCHOOL,BOWEN SECONDARY SCHOOL,1.37035994436211,103.877659577677
168,BUKIT BATOK SECONDARY SCHOOL,BUKIT BATOK SECONDARY SCHOOL,1.34849085621929,103.740873704829
169,YISHUN TOWN SECONDARY SCHOOL,YISHUN TOWN SECONDARY SCHOOL,1.43232156717387,103.838094226361
170,HOUGANG SECONDARY SCHOOL,HOUGANG SECONDARY SCHOOL,1.37764019332166,103.882533963338
171,NAN HUA HIGH SCHOOL,NAN HUA HIGH SCHOOL,1.30809499133647,103.768561208485
172,HILLGROVE SECONDARY SCHOOL,HILLGROVE SECONDARY SCHOOL,1.35273576615915,103.752986488399
173,XINMIN SECONDARY SCHOOL,XINMIN SECONDARY SCHOOL,1.37255884700005,103.88305161385
174,GREENRIDGE SECONDARY SCHOOL,GREENRIDGE SECONDARY SCHOOL,1.38186433722815,103.773828466913
175,SPRINGFIELD SECONDARY SCHOOL,SPRINGFIELD SECONDARY SCHOOL,1.34957303526222,103.930354460965
176,CHUA CHU KANG SECONDARY SCHOOL,CHUA CHU KANG SECONDARY SCHOOL,1.38319029263489,103.751878290333
177,DAMAI SECONDARY SCHOOL,DAMAI SECONDARY SCHOOL,1.33692798510395,103.927091653438
178,NORTHLAND SECONDARY SCHOOL,NORTHLAND SECONDARY SCHOOL,1.43580183362641,103.840104687784
179,PEIRCE SECONDARY SCHOOL,PEIRCE SECONDARY SCHOOL,1.36665944653815,103.83021606804
180,JURONGVILLE SECONDARY SCHOOL,JURONGVILLE SECONDARY SCHOOL,1.35128862770287,103.728907710089
181,FAJAR SECONDARY SCHOOL,FAJAR SECONDARY SCHOOL,1.37560005371676,103.763998914082
182,KRANJI SECONDARY SCHOOL,KRANJI SECONDARY SCHOOL,1.39005109871314,103.741190664845
183,JUYING SECONDARY SCHOOL,JUYING SECONDARY SCHOOL,1.33872277341331,103.687310264575
