,Address,Latitude,Longitude
125,HARBOURFRONT  MRT STATION SINGAPORE,1.2656038,103.8208568
126,OUTRAM PARK  MRT STATION SINGAPORE,1.2802438,103.8394591
127,CHINATOWN  MRT STATION SINGAPORE,1.2844913,103.8435939
128,CLARKE QUAY  MRT STATION SINGAPORE,1.2881554,103.8467181
129,DHOBY GHAUT  MRT STATION SINGAPORE,1.2990936,103.8457886
130,LITTLE INDIA  MRT STATION SINGAPORE,1.3066479,103.8494066
131,FARRER PARK  MRT STATION SINGAPORE,1.3126142,103.8548616
132,BOON KENG  MRT STATION SINGAPORE,1.3200375,103.861623
133,POTONG PASIR  MRT STATION SINGAPORE,1.3311575,103.8690734
134,WOODLEIGH  MRT STATION SINGAPORE,1.3391274,103.8707373
135,SERANGOON  MRT STATION SINGAPORE,1.3497872,103.8736348
136,KOVAN  MRT STATION SINGAPORE,1.360175,103.8851627
137,HOUGANG  MRT STATION SINGAPORE,1.3713312,103.8925439
138,BUANGKOK  MRT STATION SINGAPORE,1.3829481,103.8933582
139,SENGKANG  MRT STATION SINGAPORE,1.3916609,103.8954533
140,PUNGGOL  MRT STATION SINGAPORE,1.40517,103.9023559
