,line,station_name,year_opened,is_interchange,Latitude,Longitude
116,CC,MOUNTBATTEN  MRT STATION SINGAPORE,2010-04,0,1.3060843999999998,103.8831531
117,CC,STADIUM  MRT STATION SINGAPORE,2010-04,0,1.3027829,103.8754063
118,CC,NICOLL HIGHWAY  MRT STATION SINGAPORE,2010-04,0,1.3002063,103.86347070000001
119,CC,PROMENADE  MRT STATION SINGAPORE,2010-04,1,1.2939988000000002,103.86017729999999
120,CC,ESPLANADE  MRT STATION SINGAPORE,2010-04,0,1.2939413,103.8553744
121,CC,BRAS BASAH  MRT STATION SINGAPORE,2010-04,0,1.2969461000000002,103.85073659999999
122,CC,DHOBY GHAUT  MRT STATION SINGAPORE,2010-04,0,1.2990936000000002,103.84578859999999
123,CE,BAYFRONT  MRT STATION SINGAPORE,2012-01,1,1.2813386,103.8589551
124,CE,MARINA BAY  MRT STATION SINGAPORE,2012-01,1,1.2765211,103.8547012
125,NE,HARBOURFRONT  MRT STATION SINGAPORE,2003-06,1,1.2656038,103.8208568
126,NE,OUTRAM PARK  MRT STATION SINGAPORE,2003-06,1,1.2802438,103.83945909999998
127,NE,CHINATOWN  MRT STATION SINGAPORE,2003-06,1,1.2844913,103.8435939
128,NE,CLARKE QUAY  MRT STATION SINGAPORE,2003-06,0,1.2881553999999997,103.8467181
129,NE,DHOBY GHAUT  MRT STATION SINGAPORE,2003-06,1,1.2990936000000002,103.84578859999999
130,NE,LITTLE INDIA  MRT STATION SINGAPORE,2003-06,1,1.3066479,103.8494066
131,NE,FARRER PARK  MRT STATION SINGAPORE,2003-06,0,1.3126142,103.85486159999999
132,NE,BOON KENG  MRT STATION SINGAPORE,2003-06,0,1.3200375,103.861623
133,NE,POTONG PASIR  MRT STATION SINGAPORE,2003-06,0,1.331273,103.86878979999999
134,NE,WOODLEIGH  MRT STATION SINGAPORE,2011-06,0,1.3391274,103.8707373
135,NE,SERANGOON  MRT STATION SINGAPORE,2003-06,1,1.3497872,103.8736348
136,NE,KOVAN  MRT STATION SINGAPORE,2003-06,0,1.360175,103.8851627
137,NE,HOUGANG  MRT STATION SINGAPORE,2003-06,0,1.3713312,103.8925439
138,NE,BUANGKOK  MRT STATION SINGAPORE,2006-01,0,1.3829481000000001,103.89335820000001
139,NE,SENGKANG  MRT STATION SINGAPORE,2003-06,0,1.3916608999999998,103.8954533
140,NE,PUNGGOL  MRT STATION SINGAPORE,2003-06,0,1.40517,103.9023559
