,school_name,school_latitude,school_longitude
228,ORCHID PARK SECONDARY SCHOOL,1.4153203280701,103.837859241343
229,SEMBAWANG SECONDARY SCHOOL,1.4453150213139,103.81684325839
230,SENG KANG SECONDARY SCHOOL,1.38659683143748,103.898365036709
231,JUNYUAN SECONDARY SCHOOL,1.35361315263539,103.933886165824
232,EAST SPRING SECONDARY SCHOOL,1.3562250904733,103.960640700026
233,UNITY SECONDARY SCHOOL,1.40002893292858,103.746025843729
234,NORTHBROOKS SECONDARY SCHOOL,1.42081285020657,103.845147332528
235,PASIR RIS CREST SECONDARY SCHOOL,1.37284060102249,103.959728202919
236,FUHUA SECONDARY SCHOOL,1.3470140891376,103.72652089832
237,MARSILING SECONDARY SCHOOL,1.43664424797331,103.776008090182
238,WOODGROVE SECONDARY SCHOOL,1.42831828137014,103.79604758539
239,ZHENGHUA SECONDARY SCHOOL,1.38836870373382,103.76552155794
240,REGENT SECONDARY SCHOOL,1.39327908335685,103.751034411529
241,KENT RIDGE SECONDARY SCHOOL,1.301227734261,103.764889617566
242,WESTWOOD SECONDARY SCHOOL,1.35373698510995,103.701772102139
243,CANBERRA SECONDARY SCHOOL,1.45322492445716,103.814194898113
244,COMPASSVALE SECONDARY SCHOOL,1.39614083952012,103.899847164494
245,EVERGREEN SECONDARY SCHOOL,1.4414913127374,103.794137756171
246,ANGLO-CHINESE SCHOOL (JUNIOR),1.30935122599558,103.840955091346
247,CHIJ PRIMARY (TOA PAYOH),1.33275264711591,103.841847263786
248,CHIJ (KELLOCK),1.27502272296403,103.828157564896
249,CHIJ OUR LADY OF THE NATIVITY,1.37330297194879,103.897575728031
250,DE LA SALLE SCHOOL,1.39470782963993,103.743201812831
251,SAINT ANDREW'S JUNIOR SCHOOL,1.33140255308872,103.865117134385
252,SAINT ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1.33472537301892,103.941234868202
253,SAINT GABRIEL'S PRIMARY SCHOOL,1.34947192653863,103.862561037707
254,SAINT MARGARET'S PRIMARY SCHOOL,1.30378845667471,103.846251114072
255,SAINT JOSEPH'S INSTITUTION JUNIOR,1.31772860986917,103.845611935235
256,SAINT STEPHEN'S SCHOOL,1.31878997295137,103.917258129598
257,CHIJ OUR LADY OF GOOD COUNSEL,1.3574295229699,103.864009397373
258,MONTFORT JUNIOR SCHOOL,1.3738244407598,103.889307782925
259,CHIJ OUR LADY QUEEN OF PEACE,1.36660366856101,103.767412204602
260,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.30054082453427,103.785438270044
